,station,state,country,lat,lon,timezone,elev,HDD,CDD,ClimateZone,design_cooling_T,design_heating_T,1,2,3,4,5,6,7,8,9,10,11,12
-,Pamplona,-,ESP,42.76,-1.64,1.0,363.0,2278,1347,4C - mixed marine,28.300000000000004,-0.24599999999999794,4.550268817204301,6.509821428571415,7.9997311827957,9.901805555555558,13.263440860215047,17.304583333333316,20.450403225806475,20.307661290322585,18.1831944444444,13.704838709677409,8.343333333333327,5.707661290322583
.94728,New York City/Central,NY,USA,40.78,-73.96,-5.0,40.0,2700,1778,4A/B - mixed,28.9,-7.799999999999999,0.056451612903226846,0.12306547619047666,3.9803763440860216,11.111388888888893,15.271236559139794,19.85888888888885,23.025672043010747,23.55040322580644,19.105138888888902,14.059408602150558,8.551527777777768,2.812365591397855
013110,BERGEN,-,NOR,60.3,5.22,1.0,50.0,3995,364,5C - cool marine,22.3,-4.2,1.9998655913978511,1.0453869047619049,2.659274193548388,5.309861111111111,9.007795698924728,12.127638888888898,13.7388440860215,13.946505376344081,10.643055555555563,7.53427419354838,4.041249999999997,2.781720430107527
014880,OSLO/FORNEBU,-,NOR,59.9,10.62,1.0,17.0,4171,724,6A/B - cold,23.240999999999985,-11.8,-3.7923387096774186,-0.8517857142857143,0.9180107526881718,4.603611111111113,11.891263440860223,14.696527777777776,17.47513440860216,16.545698924731187,11.045555555555547,6.697177419354836,1.7790277777777783,-1.6142473118279577
020440,KIRUNA,-,SWE,67.82,20.33,1.0,452.0,6966,140,7 - very cold,18.6,-23.441,-13.931182795698927,-10.81949404761904,-7.84086021505377,-2.3931944444444424,3.988440860215054,9.645277777777785,12.323655913978497,9.60255376344085,3.714305555555554,0.4055107526881717,-9.110972222222218,-9.362768817204296
022260,OSTERSUND/FROSON,-,SWE,63.18,14.5,1.0,370.0,5436,289,7 - very cold,21.940999999999985,-16.7,-5.7935483870967746,-5.939583333333331,-3.2220430107526887,1.456666666666667,7.179032258064519,11.135694444444441,14.016129032258082,12.515053763440873,7.579305555555552,3.226075268817205,-1.5591666666666675,-3.4821236559139765
024180,KARLSTAD,-,SWE,59.37,13.47,1.0,55.0,4425,585,6A/B - cold,22.0,-13.2,-3.41733870967742,-3.5049107142857103,0.34381720430107526,3.9983333333333366,10.326612903225817,14.377500000000005,16.863844086021526,15.720833333333314,10.130138888888899,6.028091397849461,1.2816666666666665,-1.813709677419354
024600,STOCKHOLM_ ARLANDA,-,SWE,59.65,17.95,1.0,61.0,4238,682,6A/B - cold,24.0,-10.8,-3.5506720430107555,-0.7956845238095224,0.30309139784946304,4.447083333333335,11.692473118279572,14.473749999999985,17.015053763440857,15.963709677419365,11.33180555555555,6.73790322580644,1.6102777777777795,-1.9067204301075271
025260,GOTEBORG_ LANDVETTER,-,SWE,57.67,12.3,1.0,169.0,4198,524,6A/B - cold,22.3,-9.4,-1.9244623655913986,-1.6403273809523813,1.425403225806453,4.829444444444446,10.707795698924732,13.573194444444436,15.440456989247311,14.593279569892472,10.59916666666666,7.671505376344083,2.674722222222223,-0.2520161290322578
029440,TAMPERE,-,FIN,61.42,23.58,2.0,112.0,5020,527,7 - very cold,23.440999999999985,-18.5,-6.28642473118279,-6.675595238095238,-2.594354838709678,2.9629166666666675,9.277016129032257,13.5498611111111,16.56868279569893,15.195833333333336,9.506944444444438,4.587903225806454,-1.0143055555555562,-4.225537634408606
029740,HELSINKI,-,FIN,60.32,24.97,2.0,56.0,4712,577,6A/B - cold,23.9,-16.341,-3.861290322580643,-5.674851190476187,-0.9977150537634408,3.6713888888888904,9.855376344086018,14.00555555555556,16.702822580645154,15.751075268817198,10.244305555555563,5.855510752688172,-1.2644444444444438,-2.9733870967741938
030910,ABERDEEN/DYCE,-,GBR,57.2,-2.22,0.0,65.0,3504,436,5C - cool marine,20.6,-3.0,3.64112903225806,4.349107142857134,5.616129032258064,6.51986111111111,9.580779569892472,11.903055555555557,13.89045698924731,13.893279569892467,11.787361111111116,8.974462365591394,6.139027777777789,4.243145161290319
031140,OBAN,-,GBR,56.42,-5.47,0.0,4.0,3183,478,5C - cool marine,18.6,-0.4,4.822043010752695,5.068303571428576,5.521774193548383,8.072777777777777,10.650134408602149,12.731805555555537,14.302016129032262,13.666397849462369,12.128194444444457,10.576075268817206,7.34458333333333,6.189381720430099
031710,LEUCHARS,-,GBR,56.38,-2.87,0.0,12.0,3413,456,5C - cool marine,19.6,-0.9000000000000001,3.3115591397849524,4.598809523809525,5.187499999999999,7.123472222222232,9.631989247311813,12.356527777777787,14.60698924731184,14.289247311827943,12.312361111111105,9.509274193548395,6.269444444444437,4.380913978494621
033220,AUGHTON,-,GBR,53.55,-2.92,0.0,56.0,3100,590,5C - cool marine,19.940999999999985,-0.8,4.728360215053758,3.661755952380956,6.603763440860212,8.254861111111111,10.750000000000012,13.328055555555554,15.52217741935483,15.123521505376358,12.718472222222227,10.220430107526878,6.997638888888892,5.904704301075266
033600,FINNINGLEY,-,GBR,53.48,-1.0,0.0,17.0,3116,689,5C - cool marine,24.0,-2.3,4.166666666666665,3.628720238095238,6.201881720430106,7.74513888888889,11.092069892473111,13.790416666666642,16.507526881720427,15.85766129032256,13.326944444444452,10.302822580645161,6.485416666666672,4.678360215053761
034960,HEMSBY,-,GBR,52.68,1.68,0.0,14.0,2978,719,4C - mixed marine,20.7,0.2,4.798655913978497,4.559523809523808,5.6869623655913975,8.162500000000016,11.063978494623644,13.7238888888889,15.929838709677428,16.395161290322577,13.9626388888889,11.094220430107542,7.1473611111111115,5.504838709677423
